,name,id,content,retweets
50,Planet.fr,‏@planet_fr,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://bit.ly/1O8FR2O,0
51,Francois M. Duguet,‏@FMD37,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …,0
52,Politique,‏@Elysee_2012,François Hollande père du fils d'Anne Hidalgo ? La maire de Paris dément (enco... http://bit.ly/1EbVTWX  #Elysée http://fac.free.fr,0
53,Planet.fr,‏@planet_fr,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://bit.ly/1FmRUbA,0
54,Jcrkan J-c Reic,‏@JcrkanReich,Ça Alors ! des sacrés loulous en politique ! http://fb.me/1W33QYat2,0
55,Planet.fr Election,‏@election___2012,Lire sur @Planet_fr François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://ow.ly/2X9m2x,0
56,Mina Rigalon,‏@MRigalon,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr,1
57,Planet.fr,‏@planet_fr,François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://bit.ly/1O8FR2O,0
58,langlois martine,@martinette76620,Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur [Vidéo] http://www.telestar.fr/2015/videos/Anne-Hidalgo-Francois-Hollande-est-il-le-pere-de-son-fils-Elle-repond-a-la-rumeur-Video-96043 … via @Telestarmag,0
59,TéléStar,@Telestarmag,. @Anne_Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur (@FogielMarcO) [Vidéo] >> http://bit.ly/1Gow2g2,1
60,Politique,@Elysee_2012,Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la... http://bit.ly/1CUpYbt  #Elysée http://fac.free.fr,0
61,TéléMag,@TeleMagazi,Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur [Vidéo] http://goo.gl/fb/S9kRc3,0
62,RassembleDemocrates,@RassembDemocrat,@blaemag @nausicalibre @SylvieD83 C'est le fils de #Hollande avec #Hidalgo,0
63,femme et lyonnaise,‏@stephanielyon69,Coût de l' enfant de François Hollande et Anne Hidalgo pour les contribuables ? http://www.observatoiredesgaspillages.com/2014/combien-coute-l-enfant-de-francois-hollande-et-anne-hidalgo-aux-contribuables/ … Hollande tel père tel fils Mitterrand,1
64,intropa,‏@IntropaJacques,"#Hollande, #Hidalgo, enfant caché et censure de #Twitter | http://24heuresactu.com  http://bit.ly/1xDw4rT  …",0
65,SHAHNOUR#VFrVN,‏@chatnours,"A LIRE VITE AVANT CENSURE ? ""Hollande, Hidalgo, enfant caché et censure de Twitter |"" http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
66,intropa,@IntropaJacques,"#Hollande, #Hidalgo, enfant caché et censure de #Twitter | http://24heuresactu.com  http://bit.ly/1xDw4rT  …",2
67,Maxhno,@Maxhn0,@Anne_Hidalgo Faut quand même être demeuré pour vouloir censurer une rumeur. #streysand #librexpression http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …,0
68,intropa,@IntropaJacques,"#Hollande, #Hidalgo, enfant caché et censure de #Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
69,Llopis Jean Luc,‏@jeanlucllopis,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
70,Zoe Zemour,@ZoeZemour,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",2
71,Я Blue Monkey #ONLЯ,‏@besomonkey,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
72,Adrenaline ♈,‏@adrenaline1001,"#Hollande #Hidalgo> l'ENFANT CACHÉ‼️ CENSURE SOCIALISTE de Twitter, mis en demeure de faire cesser les rumeurs http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",16
73,toni nadine,‏@toni_nadine,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
74,Gerigne jean-claude,‏@gerigne,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
75,ragnagna airduster,‏@ragnagnaairdus1,@eurovinnland @JionelLospin http://www.atlantico.fr/decryptage/francois-hollande-rumeurs-internet-fils-cache-anne-hidalgo-compagne-non-divorcee-philippe-aldrin-jean-vigreux-443772.html …,0
76,manuel 3,@manuel_o,@Anne_Hidalgo d'ou est-ce qu'elle décide hidalgo?C'est au PR et au gvt de decider pas à la nulle. Qu'elle s'occupe de son fils avec hollande,0
77,Marc,‏@Marczuul,"Au fait, j'ai entendu ce soir que le fils d'Anne Hidalgo était de François Hollande, niveau bullshit c'est élevé ou crédible ?",2
78,faujiarive,‏@claudettepitrus,@20rueducirque2 @marclahen @lacuriosite85 @LEXPRESS Ce n'est pas un scoop le fils Hollande avec Hidalgo histoire ancienne et connue!!!,2
79,Happy,‏@ArlKurios,#Hollande et #hidalgo l'amant et sa maitresse leur fils est au 1er rang !,0
80,Manin ARCOS,@CyberManin,La Liberté d'Expression de nos jours? C'est comme si un Socialo avait du Courage ...! http://tinyurl.com/93nu6x2  .. #fh2012 #NS2017,2
81,Adrian Zublin,‏@AdrianZublin,#Horreur ! Je suis le fils caché de François #Hollande le fils d'Anne #Hidalgo est donc mon frère... Ma vie est définitivement foutue !,0
82,CalviOne,‏@CalviOne,#Hollande #Mitterrand mêmes combats http://lelab.europe1.fr/Un-jeune-politicien-suedois-affirme-etre-le-fils-de-Francois-Mitterrand-15751 … @Julie_Gayet @RoyalSegolene @Anne_Hidalgo @valtrier #OUT,2
83,Gilbert Enaud,‏@gilbertenaud,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",0
84,toni nadine,‏@toni_nadine,"Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …",2
85,Guillaume • Bousquet,@guireferee,"Anne Hidalgo, elle a eu un goss. Elle a accouché à Brive, Hollande était le père.. Un fils caché... et ça peu de gens le savent",1
86,Guy Letyn,‏@GuyLetyn,"Entre @hidalgo et @fhollande, un enfant caché ou simplement une rumeur ?? http://www.atlantico.fr/decryptage/francois-hollande-rumeurs-internet-fils-cache-anne-hidalgo-compagne-non-divorcee-philippe-aldrin-jean-vigreux-443772.html …",2
87,FEVE raoul,‏@FEVE62,RT A HIDALGO a déclaré qu'elle serait Libre vis-à-vis du Gvt HOLLANDE ! elle s'est déjà libérée d HOLLANDE Père d son Fils une 1ère fois lol,0
88,Jean Fantetasoeur,‏@MisterKrissou,"François Hollande a eu un fils avec Ane Hidalgo, actuelle maire de Paris",0
89,offshore@OI,@offshoreOI,@lepenactu saviez-vous que #hollande avait un fils avec #hidalgo?,0
90,nation59,‏@nation59,coût pour les contribuables du fils que François Hollande a eu avec Anne Hidalgo.. http://ln.is/www.youtube.com/zVQYK …,0
