num_rumor;date;name;id;content;retweets;
157;2015-04-10;Laufra François;‏@laufra2330;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris réagit http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html?xtor=ES-1-820540[Planet-a-la-Une]-20150410 …;1;
157;2015-04-10;gillou;‏@GillesStocklin;Fils caché, compagne non divorcée... Toutes les réponses aux rumeurs sur François Hollande  prolifèrent... http://po.st/emUCeV  via @po_st;0;
157;2015-04-10;Conte jean;@contejb;m.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …;0;
157;2015-04-09;missblabla75;@missblabla75;En attendant ce père est inconnu#François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …;1;
157;2015-04-09;BRIENS de TOURVILLE;‏@briens6;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr;1;
157;2015-04-09;Fab Ricewell;@Fabricewell;Qu'elle fasse ce qu'il faut pour prouver de qui il est ce gamin http://fb.me/4bm2Egfj3;0;
157;2015-04-09;grabotte;‏@chantalanni;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …;0;
157;2015-04-09;Planet.fr;‏@planet_fr;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://bit.ly/1O8FR2O;0;
157;2015-04-09;Francois M. Duguet;‏@FMD37;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html …;0;
157;2015-04-09;Politique;‏@Elysee_2012;François Hollande père du fils d'Anne Hidalgo ? La maire de Paris dément (enco... http://bit.ly/1EbVTWX  #Elysée http://fac.free.fr;0;
157;2015-04-09;Planet.fr;‏@planet_fr;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://bit.ly/1FmRUbA;0;
157;2015-04-09;Jcrkan J-c Reic;‏@JcrkanReich;Ça Alors ! des sacrés loulous en politique ! http://fb.me/1W33QYat2;0;
157;2015-04-09;Planet.fr Election;‏@election___2012;Lire sur @Planet_fr François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://ow.ly/2X9m2x;0;
157;2015-04-09;Mina Rigalon;‏@MRigalon;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) | Planet http://www.planet.fr/politique-francois-hollande-pere-du-fils-danne-hidalgo-la-maire-de-paris-dement-encore.834650.29334.html … via @planet_fr;1;
157;2015-04-09;Planet.fr;‏@planet_fr;François Hollande père du fils d’Anne Hidalgo ? La maire de Paris dément (encore) http://bit.ly/1O8FR2O;0;
157;2015-04-08;langlois martine;@martinette76620;Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur [Vidéo] http://www.telestar.fr/2015/videos/Anne-Hidalgo-Francois-Hollande-est-il-le-pere-de-son-fils-Elle-repond-a-la-rumeur-Video-96043 … via @Telestarmag;0;
157;2015-04-08;TéléStar;@Telestarmag;. @Anne_Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur (@FogielMarcO) [Vidéo] >> http://bit.ly/1Gow2g2;1;
157;2015-04-08;Politique;@Elysee_2012;Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la... http://bit.ly/1CUpYbt  #Elysée http://fac.free.fr;0;
157;2015-04-08;TéléMag;@TeleMagazi;Anne Hidalgo : François Hollande est-il le père de son fils ? Elle répond à la rumeur [Vidéo] http://goo.gl/fb/S9kRc3;0;
157;2015-02-06;RassembleDemocrates;@RassembDemocrat;@blaemag @nausicalibre @SylvieD83 C'est le fils de #Hollande avec #Hidalgo;0;
157;2015-01-31;femme et lyonnaise;‏@stephanielyon69;Coût de l' enfant de François Hollande et Anne Hidalgo pour les contribuables ? http://www.observatoiredesgaspillages.com/2014/combien-coute-l-enfant-de-francois-hollande-et-anne-hidalgo-aux-contribuables/ … Hollande tel père tel fils Mitterrand;1;
157;2015-01-22;intropa;‏@IntropaJacques;#Hollande, #Hidalgo, enfant caché et censure de #Twitter | http://24heuresactu.com  http://bit.ly/1xDw4rT  …;0;
157;2015-01-22;SHAHNOUR#VFrVN;‏@chatnours;A LIRE VITE AVANT CENSURE ? "Hollande, Hidalgo, enfant caché et censure de Twitter |" http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2015-01-22;intropa;@IntropaJacques;#Hollande, #Hidalgo, enfant caché et censure de #Twitter | http://24heuresactu.com  http://bit.ly/1xDw4rT  …;2;
157;2015-01-22;Maxhno;@Maxhn0;@Anne_Hidalgo Faut quand même être demeuré pour vouloir censurer une rumeur. #streysand #librexpression http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2015-01-22;intropa;@IntropaJacques;#Hollande, #Hidalgo, enfant caché et censure de #Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2015-01-22;Llopis Jean Luc;‏@jeanlucllopis;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2015-01-22;Zoe Zemour;@ZoeZemour;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;2;
157;2015-01-22;Я Blue Monkey #ONLЯ;‏@besomonkey;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2015-01-22;Adrenaline ♈;‏@adrenaline1001;#Hollande #Hidalgo> l'ENFANT CACHÉ‼️ CENSURE SOCIALISTE de Twitter, mis en demeure de faire cesser les rumeurs http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;16;
157;2014-12-19;toni nadine;‏@toni_nadine;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2014-11-20;Gerigne jean-claude;‏@gerigne;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2014-11-08;ragnagna airduster;‏@ragnagnaairdus1;@eurovinnland @JionelLospin http://www.atlantico.fr/decryptage/francois-hollande-rumeurs-internet-fils-cache-anne-hidalgo-compagne-non-divorcee-philippe-aldrin-jean-vigreux-443772.html …;0;
157;2014-11-07;manuel 3;@manuel_o;@Anne_Hidalgo d'ou est-ce qu'elle décide hidalgo?C'est au PR et au gvt de decider pas à la nulle. Qu'elle s'occupe de son fils avec hollande;0;
157;2014-10-18;Marc;‏@Marczuul;Au fait, j'ai entendu ce soir que le fils d'Anne Hidalgo était de François Hollande, niveau bullshit c'est élevé ou crédible ?;2;
157;2014-09-19;faujiarive;‏@claudettepitrus;@20rueducirque2 @marclahen @lacuriosite85 @LEXPRESS Ce n'est pas un scoop le fils Hollande avec Hidalgo histoire ancienne et connue!!!;2;
157;2014-08-25;Happy;‏@ArlKurios;#Hollande et #hidalgo l'amant et sa maitresse leur fils est au 1er rang !;0;
157;2014-08-20;Manin ARCOS;@CyberManin;La Liberté d'Expression de nos jours? C'est comme si un Socialo avait du Courage ...! http://tinyurl.com/93nu6x2  .. #fh2012 #NS2017;2;
157;2014-08-09;Adrian Zublin;‏@AdrianZublin;#Horreur ! Je suis le fils caché de François #Hollande le fils d'Anne #Hidalgo est donc mon frère... Ma vie est définitivement foutue !;0; 
157;2014-08-08;CalviOne;‏@CalviOne;#Hollande #Mitterrand mêmes combats http://lelab.europe1.fr/Un-jeune-politicien-suedois-affirme-etre-le-fils-de-Francois-Mitterrand-15751 … @Julie_Gayet @RoyalSegolene @Anne_Hidalgo @valtrier #OUT;2;
157;2014-06-23;Gilbert Enaud;‏@gilbertenaud;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;0;
157;2014-05-24;toni nadine;‏@toni_nadine;Hollande, Hidalgo, enfant caché et censure de Twitter | http://24heuresactu.com  http://24heuresactu.com/2012/08/21/hollande-hidalgo-fils-cache-et-censure-de-twitter/ …;2;
157;2014-04-19;Guillaume • Bousquet;@guireferee;Anne Hidalgo, elle a eu un goss. Elle a accouché à Brive, Hollande était le père.. Un fils caché... et ça peu de gens le savent;1;
157;2014-04-13;Guy Letyn;‏@GuyLetyn;Entre @hidalgo et @fhollande, un enfant caché ou simplement une rumeur ?? http://www.atlantico.fr/decryptage/francois-hollande-rumeurs-internet-fils-cache-anne-hidalgo-compagne-non-divorcee-philippe-aldrin-jean-vigreux-443772.html …;2;
157;2014-04-13;FEVE raoul;‏@FEVE62;RT A HIDALGO a déclaré qu'elle serait Libre vis-à-vis du Gvt HOLLANDE ! elle s'est déjà libérée d HOLLANDE Père d son Fils une 1ère fois lol;0;
